sample_id,img_name,label_name,label,original_shape_Elongation,original_shape_Flatness,original_shape_LeastAxisLength,original_shape_MajorAxisLength,original_shape_Maximum2DDiameterColumn,original_shape_Maximum2DDiameterRow,original_shape_Maximum2DDiameterSlice,original_shape_Maximum3DDiameter,original_shape_MeshVolume,original_shape_MinorAxisLength,original_shape_Sphericity,original_shape_SurfaceArea,original_shape_SurfaceVolumeRatio,original_shape_VoxelVolume,original_firstorder_10Percentile,original_firstorder_90Percentile,original_firstorder_Energy,original_firstorder_Entropy,original_firstorder_InterquartileRange,original_firstorder_Kurtosis,original_firstorder_Maximum,original_firstorder_MeanAbsoluteDeviation,original_firstorder_Mean,original_firstorder_Median,original_firstorder_Minimum,original_firstorder_Range,original_firstorder_RobustMeanAbsoluteDeviation,original_firstorder_RootMeanSquared,original_firstorder_Skewness,original_firstorder_TotalEnergy,original_firstorder_Uniformity,original_firstorder_Variance,original_glcm_Autocorrelation,original_glcm_JointAverage,original_glcm_ClusterProminence,original_glcm_ClusterShade,original_glcm_ClusterTendency,original_glcm_Contrast,original_glcm_Correlation,original_glcm_DifferenceAverage,original_glcm_DifferenceEntropy,original_glcm_DifferenceVariance,original_glcm_JointEnergy,original_glcm_JointEntropy,original_glcm_Imc1,original_glcm_Imc2,original_glcm_Idm,original_glcm_Idmn,original_glcm_Id,original_glcm_Idn,original_glcm_InverseVariance,original_glcm_MaximumProbability,original_glcm_SumEntropy,original_glcm_SumSquares
sample_0242,sample_0242_crop_sphere_outlier_water.nii.gz,sample_0242_crop_label_sphere_outlier_water.nii.gz,sphere_water,0.8009786430438471,0.4838350356149365,33.70665951574752,69.66560301468785,67.36467917239716,88.50988645343524,80.38812101299544,89.79699326814902,58820.692708333336,55.800660169536016,0.4465355790825536,16380.03451811569,0.2784740159273077,58862.25,103.0,529.0,56436774093.0,4.695629739925735,213.0,6.563897511180386,1436.0,143.37350816398435,286.98203220230283,237.0,-225.0,1661.0,90.88321048052396,346.1925102830268,1.6416247748149586,7054596761.625,0.0498950781035791,37490.56736910002,496.7225096478719,20.99267229340002,360218.38337081304,5928.473909585746,234.37817663842844,10.25911108736955,0.9161933432008936,2.2234308233615554,2.7574863145728843,5.181344272993854,0.0067968025352516,8.126086945603458,-0.2710881004157202,0.95617909442329,0.3880968992570537,0.9977501349534652,0.4571344964792564,0.9688834909367277,0.3765737347066112,0.0193244911566997,5.660176312709657,61.15932193144957
sample_0857,sample_0857_crop_sphere_outlier_mean_std_inpaint.nii.gz,sample_0857_crop_label_sphere_outlier_mean_std_inpaint.nii.gz,sphere_mean,0.6399185884835802,0.4732273310324111,38.41248558594514,81.17131675836002,78.04005381853602,92.92066508586774,88.56212508742098,94.94340419428828,48315.32291666666,51.94303444536333,0.3828960036150416,16754.310070473424,0.3467701147184907,48381.125,116.59268188476562,574.2636596679688,53004023081.64087,4.784990867846217,238.7146148681641,5.5828493369795735,1484.7327880859375,151.13716514392397,313.02667120368426,263.38482666015625,-138.85523986816406,1623.5880279541016,100.57260840580533,370.05940171104106,1.3888703971933891,6625502885.205109,0.0457291223317964,38958.2639098742,419.3041450059108,19.03876092048593,317558.2130894362,5134.032633829459,238.59158303410152,11.275358628706131,0.9097310817117716,2.2644474899815954,2.796922136683889,5.996760386354551,0.0065508966928742,8.222573140401648,-0.2780633887649094,0.9603945563494451,0.3992566692315268,0.9974591161813736,0.464948607942318,0.968012102541176,0.3788945137830872,0.0192099852261312,5.739263643646047,62.46673541570187
sample_0085,sample_0085_crop_sphere_outlier_water.nii.gz,sample_0085_crop_label_sphere_outlier_water.nii.gz,sphere_water,0.7812950299045329,0.5003202351093945,34.73824781787388,69.43202649055038,69.1158447825099,94.64142856064674,83.72574275573791,95.04472631345728,56709.74479166666,54.24689721326689,0.4244099731420416,16819.13561229834,0.2965828126027798,56750.0,75.0,584.0,60639966532.0,4.802101831939361,227.0,6.968831066563893,1541.0,171.5952612237769,277.46114537444936,201.0,-142.0,1683.0,101.12526427738456,365.4698458426691,1.8930055535555377,7579995816.5,0.0495184312134914,56583.52102776298,393.635987657219,17.550682266511064,888513.997631428,12877.292571217462,355.9456337078294,13.512794518270102,0.9268941852032,2.487794422057674,2.905544469169482,7.151396647281192,0.0068501767469061,8.314629274872706,-0.2656306476714255,0.9559468918743652,0.3700570991867941,0.9971407788986096,0.4411704210545185,0.9660153894361092,0.3604064950570676,0.0203105890119749,5.749994419790819,92.36460705652492
sample_0242,sample_0242_crop_sphere_outlier_mean_std_inpaint.nii.gz,sample_0242_crop_label_sphere_outlier_mean_std_inpaint.nii.gz,sphere_mean,0.7351100619950666,0.4619434821334892,35.125377866036104,76.0382584116336,67.36467917239716,88.50988645343524,80.38812101299544,89.79699326814902,56170.442708333336,55.89648885497287,0.4217462295930334,16817.888944356295,0.2994081608308425,56223.625,106.0,561.0,58551820126.0,4.759365987520815,225.0,5.94565312088921,1436.0,151.1745085416284,298.7343976842475,245.0,-225.0,1661.0,96.2211588987456,360.7993819375569,1.5544932205715452,7318977515.75,0.0477418640170929,40933.95364675293,523.3713099802519,21.491460027221656,389190.82154158346,6405.872836370236,257.0539992926994,11.10093832650971,0.9172930005413366,2.311511380353388,2.809344402357403,5.609758680649104,0.0063499904814224,8.243095347490579,-0.2709903687900482,0.9576940514324588,0.3803633102894285,0.9975672988524787,0.4504951103617262,0.967732058685561,0.3695515030858277,0.018469438458122,5.729002837913748,67.03873440480233
sample_0242,sample_0242_crop.nii.gz,sample_0242_crop_label.nii.gz,normal,0.7499679507974161,0.511140737890021,37.20860663590154,72.79522815868275,67.36467917239716,88.50988645343524,80.38812101299544,89.79699326814902,63490.44791666666,54.59408808999766,0.4472946763545204,17206.636702133714,0.2710114240289815,63534.5,105.0,555.0,64600717809.0,4.746926999831018,225.0,5.909095030098942,1436.0,149.28211685077594,295.8197062226035,244.0,-225.0,1661.0,95.75055372533411,356.5076636647602,1.5298947880115872,8075089726.125,0.0479568162558681,39588.41566207835,515.5721192121522,21.35874438288308,361075.5322140412,5988.444760117623,248.23550967828083,10.732128579762096,0.9171940110127116,2.27787478826168,2.789299578253691,5.400797443620234,0.0064268248150074,8.212537585739561,-0.2723927063482365,0.9579584728659972,0.3826964590964543,0.9976468567324376,0.4525680547527839,0.9681638100806008,0.3718378265599813,0.0186636955658699,5.715104099856029,64.74190956451073
sample_0085,sample_0085_crop.nii.gz,sample_0085_crop_label.nii.gz,normal,0.6539057668401921,0.4591854791336655,36.91038035666912,80.38229001994372,69.1158447825099,94.74439297393803,83.72574275573791,95.04472631345728,63329.63541666666,52.56244299586202,0.417173410914307,18417.84566413166,0.2908250701737748,63379.375,79.0,640.0,76781530254.0,4.917030442988184,257.0,5.904105633735182,1541.0,184.99335428656605,298.8846410997268,219.0,-142.0,1683.0,113.83744097264652,389.1431697304624,1.6800223541589867,9597691281.75,0.0449308084045045,62100.37786255891,434.90251758996607,18.45212657835772,903728.5519652443,13095.824840228006,392.6772026670976,14.994177646835167,0.9265152633136045,2.62805637992146,2.978005938473446,7.887810932252739,0.005975102942206,8.5122748720433,-0.26883862161026,0.9599726093795908,0.3590746260252607,0.9968299413362596,0.431579671456547,0.9642281412067988,0.3505614930025708,0.0184865719196953,5.877577724450327,101.9178450784832
sample_0085,sample_0085_crop_sphere_outlier_mean_std_inpaint.nii.gz,sample_0085_crop_label_sphere_outlier_mean_std_inpaint.nii.gz,sphere_mean,0.6795183175719068,0.4621094782953548,36.33083024905566,78.61953055599305,69.1158447825099,94.74439297393803,83.05419917138447,95.04472631345728,59630.661458333336,53.42341113170152,0.4053973504491839,18207.47139880757,0.3053374045084166,59688.625,80.0,644.0,73024212068.0,4.920824003406146,258.0,5.883636659989322,1541.0,185.68485932258284,300.7592443283792,220.0,-142.0,1683.0,114.40721695931768,391.0593364849622,1.6763184475574853,9128026508.5,0.044856900617004,62471.28160308123,437.8960238764463,18.52268739950489,910793.0197530028,13172.481332417585,394.3621691855652,15.141576218145415,0.9261192152086168,2.641239859429862,2.984535185460187,7.962197651933147,0.0059527751336417,8.521943116812487,-0.2678500287976899,0.9595977949281592,0.358116586577367,0.9967992331923116,0.4307329422793292,0.9640613498319314,0.3496879012869021,0.0186422963676289,5.880141541254289,102.3759363509276
sample_0857,sample_0857_crop.nii.gz,sample_0857_crop_label.nii.gz,normal,0.6345405158211065,0.4730713746366917,37.95719322584182,80.23565842467663,78.04005381853602,92.92066508586774,88.56212508742098,94.94340419428828,58119.41666666666,50.91277608404041,0.3882260527500062,18690.18553843625,0.3215824695149713,58176.75,120.4075164794922,694.4252441406251,87354791671.4183,5.0357019813348165,284.1598587036133,5.128478951910593,1521.2532958984375,187.5428423016733,356.3723758824985,287.3648986816406,-164.4298553466797,1685.6831512451172,121.52921487960144,433.235109405816,1.4266419593178912,10919348958.927288,0.0392997178994099,60691.38972973264,570.0374575273801,21.876606064878956,736411.9626265598,10568.198821369073,381.1383352534221,15.333751961620557,0.9227413513782288,2.608997261900018,2.979326302479552,8.318654638519925,0.0052390393444511,8.659229330446221,-0.2815127694474032,0.9669935252638654,0.3737520307250851,0.9967597379255668,0.4426122756365532,0.964566450774553,0.3570883484521027,0.0166184105033401,6.008577403683485,99.11802180376068
sample_0857,sample_0857_crop_sphere_outlier_water.nii.gz,sample_0857_crop_label_sphere_outlier_water.nii.gz,sphere_water,0.5794030560424993,0.4500629917095682,37.76740517815928,83.91582039371745,78.04005381853602,92.92066508586774,88.56212508742098,94.94340419428828,51952.265625,48.62108278643338,0.3748368390572099,17962.971690729155,0.3457591593865961,52014.625,120.01653900146484,699.5211059570313,78938150679.6846,5.037499187581509,285.8147888183594,5.170154276282598,1521.2532958984375,189.66847620869555,356.9416146374547,285.5762023925781,-164.4298553466797,1685.6831512451172,122.44143845497072,435.5477198508366,1.4506863121753568,9867268834.960575,0.0394515766380311,62294.50000726961,573.5384677053465,21.89466191391459,785110.413990874,11213.203256064302,391.9393880249072,15.292387764543696,0.9249905287155016,2.5964354960732203,2.9729704716636127,8.343568900741461,0.0053557859648791,8.64597739628326,-0.2844208620186216,0.9679859555052392,0.3759474611762506,0.9967693508933988,0.4443956846342613,0.964741440873613,0.3585254171392965,0.0172669932085037,6.009409643165417,101.80794394736276
sample_0571,sample_0571_crop_sphere_outlier_water.nii.gz,sample_0571_crop_label_sphere_outlier_water.nii.gz,sphere_water,0.6378243747534219,0.4500907610642903,36.22934343748415,80.4934172650329,69.87131027825369,95.82536198731523,80.75270893288967,96.85685313905256,54751.546875,51.34066353883591,0.3829958132207239,18206.272016165723,0.3325252537198881,54937.625,91.0,656.0,70345805078.0,4.90227768894338,255.0,5.852639087157206,1422.0,186.32898407715177,310.54006247994886,228.0,-139.0,1561.0,113.60798373445073,400.0729314048736,1.701070934700553,8793225634.75,0.0457622653932315,63623.220037838095,456.880094464513,18.953759954202702,945716.9659698048,13768.611940542643,405.2855814764297,14.749036748682537,0.9298488435397044,2.4967584686580624,2.923309855841236,8.330097222029133,0.007062753343458,8.385661860240079,-0.2912434832268992,0.9678524605405144,0.3912953220258348,0.9963897575743424,0.456851172259755,0.96361533299749,0.3692589605314553,0.0236970667634417,5.881320388166149,105.008654556278
sample_0242,sample_0242_crop_warp_outlier.nii.gz,sample_0242_crop_label_warp_outlier.nii.gz,warp,0.667377062489945,0.5098659825447481,39.16115223229398,76.80675623198105,78.05767098754612,96.88782173214548,81.18035476640885,98.0586559157324,65411.51041666666,51.2590673534808,0.4175801746956372,18800.97496861873,0.287426094411486,65574.875,107.0,536.0,63070135454.0,4.679291304998103,218.0,6.085432986064454,1389.0,143.0486771117336,289.68297308992203,239.0,-234.0,1623.0,92.33560705634504,346.7353755564295,1.5546565674753163,7883766931.75,0.050232287340345,36309.19576404173,543.4853306900827,22.109651144496347,313029.02955640794,5341.483678601446,227.89939362125693,9.306548387506728,0.9215703031755752,2.064414570697408,2.6732969886213933,4.9172641283495135,0.0076546807530432,7.998358926963466,-0.2922314308738388,0.9634587972461316,0.4162605836061268,0.9978979033884148,0.4796382043256267,0.9706526888104008,0.3942283477085299,0.0223825650465318,5.649533155994494,59.301485502190936
sample_0571,sample_0571_crop.nii.gz,sample_0571_crop_label.nii.gz,normal,0.6460964414957664,0.465533531115621,37.35072650237249,80.23208642536206,69.87131027825369,95.82536198731523,80.75270893288967,96.85685313905256,61239.07291666666,51.83766553320721,0.4018220704539936,18698.326646188085,0.3053332742582914,61387.625,91.0,622.0,73237136116.0,4.832466824368988,242.0,6.362152710463615,1422.0,177.93377239409992,299.68713971260496,220.0,-139.0,1561.0,106.9884457964791,386.1715429356276,1.7988191574783972,9154642014.5,0.0484478158441054,59316.078864160925,432.50978959845366,18.48821602751917,893250.9089833022,13111.640790242498,376.54488923390034,13.766447718848193,0.9295157033216332,2.4083216655931183,2.877478272073136,7.797693643109416,0.0077146280576471,8.26187629426516,-0.2903965529167624,0.9661822494238133,0.3986893744504156,0.996627009763168,0.4632268350710704,0.964811471799282,0.3752234866681571,0.0255024576066273,5.804379399553905,97.57783423818714
