,Surface_Area,Volume,Centroid_X,Centroid_Y,Centroid_Z,Mean_Curvature,Mesh_Density,Num_Edges,Euler_Characteristic,File_Path,Label
0,11120.741049718876,43849.93891863909,-4.53405980405009,-91.96096192827072,-355.2403114415095,-0.08382557044819101,15.461919240026429,181,257741,/Volumes/KINGSTON/summerschool/challenge_data/train/surfaces/sample_0000_surface.vtk,normal
1,11780.66763514499,47831.960824888665,-5.0499189437638785,-91.28922242197805,-355.8681702708284,-0.08520416664924493,14.595777194072733,77,257845,/Volumes/KINGSTON/summerschool/challenge_data/train/surfaces/sample_0003_surface.vtk,normal
2,15316.156057704735,62183.321714417376,-4.441032287080192,-91.79025768383677,-355.0400107369624,-0.07955198063067001,11.226576652273152,129,257793,/Volumes/KINGSTON/summerschool/challenge_data/train/surfaces/sample_0007_surface.vtk,normal
3,12961.461964000728,50714.794281514616,-4.10158121979533,-92.18817084521831,-356.21405669702216,-0.0794708433252749,13.266096099156854,102,257820,/Volumes/KINGSTON/summerschool/challenge_data/train/surfaces/sample_0008_surface.vtk,normal
4,11046.408571369117,44880.73570504023,-3.4206559309382283,-90.99657416429679,-355.7087147729523,-0.0862721798645919,15.565964167364523,130,257792,/Volumes/KINGSTON/summerschool/challenge_data/train/surfaces/sample_0015_surface.vtk,normal
5,11338.523908531048,43844.2537323941,-4.664481115392861,-90.90419777847856,-355.87268949960884,-0.08421456187194963,15.164936934218325,78,257844,/Volumes/KINGSTON/summerschool/challenge_data/train/surfaces/sample_0016_surface.vtk,normal
6,9931.303624017228,36656.5754707795,-4.320961142714877,-90.8894655598127,-356.03146408176104,-0.09240024320752743,17.313739113178656,232,257690,/Volumes/KINGSTON/summerschool/challenge_data/train/surfaces/sample_0017_surface.vtk,normal
7,8849.618643433863,30817.686076591162,-4.400561940500986,-91.82560198883218,-354.2265808481818,-0.0994685593253879,19.429989802733473,311,257611,/Volumes/KINGSTON/summerschool/challenge_data/train/surfaces/sample_0018_surface.vtk,normal
8,15075.609165416538,67684.38678548519,-4.638460034074409,-90.92334219175012,-355.467967981645,-0.07652838175262246,11.405708261159283,84,257838,/Volumes/KINGSTON/summerschool/challenge_data/train/surfaces/sample_0020_surface.vtk,normal
9,14840.707251865719,62537.05014553503,-4.659177116182289,-91.19293054758225,-356.356556997928,-0.07626069566781087,11.586240270212414,101,257821,/Volumes/KINGSTON/summerschool/challenge_data/train/surfaces/sample_0025_surface.vtk,normal
10,14304.31248085605,63776.325145138726,-4.367795095072359,-91.46120982456077,-355.7343152713434,-0.07203939497812649,12.02071055355676,57,257865,/Volumes/KINGSTON/summerschool/challenge_data/train/surfaces/sample_0028_surface.vtk,normal
11,13684.838838575952,60428.75170046522,-4.557956724783823,-91.72572233990596,-355.48270497656665,-0.07027239891534622,12.564853852374117,99,257823,/Volumes/KINGSTON/summerschool/challenge_data/train/surfaces/sample_0032_surface.vtk,normal
12,13518.657794793096,57797.30740600962,-4.32418531213385,-91.49654614127,-355.6175334688728,-0.07799968199008432,12.719310053563765,202,257720,/Volumes/KINGSTON/summerschool/challenge_data/train/surfaces/sample_0033_surface.vtk,normal
13,10564.243863018472,37936.885724299675,-4.437778750575146,-91.9437627803277,-355.07998774364376,-0.0880528775625815,16.276413364701533,141,257781,/Volumes/KINGSTON/summerschool/challenge_data/train/surfaces/sample_0037_surface.vtk,normal
14,11141.930502148767,44007.31449562636,-4.2247453618304025,-92.10750849144452,-356.1273398459425,-0.10049797536042389,15.432514138087571,265,257657,/Volumes/KINGSTON/summerschool/challenge_data/train/surfaces/sample_0039_surface.vtk,normal
15,9724.396248538014,36403.93654862633,-4.631927082064754,-92.90693837503841,-354.5978616779953,-0.09409380928714521,17.682126026677597,194,257728,/Volumes/KINGSTON/summerschool/challenge_data/train/surfaces/sample_0041_surface.vtk,normal
16,12628.526573397914,49828.531274719666,-5.031583815515484,-91.14081729623223,-354.2950257549118,-0.09112319345395962,13.61584021703765,261,257661,/Volumes/KINGSTON/summerschool/challenge_data/train/surfaces/sample_0042_surface.vtk,normal
17,10993.85678449433,44009.01993006441,-4.0692934133643455,-91.7466884751956,-355.80369622612255,-0.07960108898159642,15.640371106390473,210,257712,/Volumes/KINGSTON/summerschool/challenge_data/train/surfaces/sample_0045_surface.vtk,normal
18,14490.265980455813,62154.35893143053,-4.030250761451391,-91.07980055554435,-355.9359127936113,-0.08102108224746077,11.866448844480846,182,257740,/Volumes/KINGSTON/summerschool/challenge_data/train/surfaces/sample_0047_surface.vtk,normal
19,14373.025611239134,63526.77215695495,-4.0578957612154305,-91.1720413526772,-355.86298366392646,-0.07866539642968692,11.963243136889947,123,257799,/Volumes/KINGSTON/summerschool/challenge_data/train/surfaces/sample_0048_surface.vtk,normal
20,13255.149154026934,53361.14378609566,-4.264047569016326,-91.85271026705314,-355.47441910865064,-0.0839977910512019,12.972166363572146,113,257809,/Volumes/KINGSTON/summerschool/challenge_data/train/surfaces/sample_0049_surface.vtk,normal
21,12812.913421051622,54278.98861332405,-4.228960844369535,-90.96818599790112,-355.7963565305257,-0.07734935604781984,13.419898687326597,76,257846,/Volumes/KINGSTON/summerschool/challenge_data/train/surfaces/sample_0050_surface.vtk,normal
22,13743.986251340235,55761.4194644403,-4.406570735899509,-91.17284074556576,-355.5508830767062,-0.07720424217231583,12.51078085029608,72,257850,/Volumes/KINGSTON/summerschool/challenge_data/train/surfaces/sample_0056_surface.vtk,normal
